Subspace projection OFF
[4,  5000] loss: 1.008
[4,  5500] loss: 1.019
[4,  6000] loss: 1.047
[4,  6500] loss: 1.012
[4,  7000] loss: 1.008
[4,  7500] loss: 0.987
[4,  8000] loss: 1.018
[4,  8500] loss: 1.013
[4,  9000] loss: 0.960
[4,  9500] loss: 1.014
[4, 10000] loss: 1.006
[4, 10500] loss: 1.019
[4, 11000] loss: 0.990
[4, 11500] loss: 0.949
[4, 12000] loss: 0.945
[4, 12500] loss: 0.962
--> Accuracy after epoch 3: 57 %
[5,   500] loss: 0.876
[5,  1000] loss: 0.871
[5,  1500] loss: 0.904
[5,  2000] loss: 0.895
[5,  2500] loss: 0.933
[5,  3000] loss: 0.905
[5,  3500] loss: 0.885
[5,  4000] loss: 0.917
[5,  4500] loss: 0.867
[5,  5000] loss: 0.928
[5,  5500] loss: 0.891
[5,  6000] loss: 0.916
[5,  6500] loss: 0.916
[5,  7000] loss: 0.895
[5,  7500] loss: 0.919
[5,  8000] loss: 0.868
[5,  8500] loss: 0.915
[5,  9000] loss: 0.919
[5,  9500] loss: 0.920
[5, 10000] loss: 0.863
[5, 10500] loss: 0.907
[5, 11000] loss: 0.894
[5, 11500] loss: 0.877
[5, 12000] loss: 0.913
[5, 12500] loss: 0.877
--> Accuracy after epoch 4: 57 %
[6,   500] loss: 0.752
[6,  1000] loss: 0.756
[6,  1500] loss: 0.801
[6,  2000] loss: 0.765
[6,  2500] loss: 0.753
[6,  3000] loss: 0.739
[6,  3500] loss: 0.814
[6,  4000] loss: 0.798
[6,  4500] loss: 0.829
[6,  5000] loss: 0.810
[6,  5500] loss: 0.814
[6,  6000] loss: 0.794
[6,  6500] loss: 0.814
[6,  7000] loss: 0.855
[6,  7500] loss: 0.795
[6,  8000] loss: 0.818
[6,  8500] loss: 0.853
[6,  9000] loss: 0.808
[6,  9500] loss: 0.817
[6, 10000] loss: 0.799
[6, 10500] loss: 0.794
[6, 11000] loss: 0.816
[6, 11500] loss: 0.752
[6, 12000] loss: 0.818
[6, 12500] loss: 0.821
--> Accuracy after epoch 5: 58 %
[7,   500] loss: 0.662
[7,  1000] loss: 0.660
[7,  1500] loss: 0.668
[7,  2000] loss: 0.717
[7,  2500] loss: 0.758
[7,  3000] loss: 0.701
[7,  3500] loss: 0.711
[7,  4000] loss: 0.728
[7,  4500] loss: 0.753
[7,  5000] loss: 0.743
[7,  5500] loss: 0.732
[7,  6000] loss: 0.731
[7,  6500] loss: 0.725
[7,  7000] loss: 0.728
[7,  7500] loss: 0.731
[7,  8000] loss: 0.720
[7,  8500] loss: 0.761
[7,  9000] loss: 0.732
[7,  9500] loss: 0.712
[7, 10000] loss: 0.722
[7, 10500] loss: 0.744
[7, 11000] loss: 0.718
[7, 11500] loss: 0.753
[7, 12000] loss: 0.723
[7, 12500] loss: 0.736
--> Accuracy after epoch 6: 58 %
[8,   500] loss: 0.595
[8,  1000] loss: 0.625
[8,  1500] loss: 0.607
[8,  2000] loss: 0.649
[8,  2500] loss: 0.648
[8,  3000] loss: 0.645
[8,  3500] loss: 0.645
[8,  4000] loss: 0.682
[8,  4500] loss: 0.668
[8,  5000] loss: 0.667
[8,  5500] loss: 0.657
[8,  6000] loss: 0.635
[8,  6500] loss: 0.664
[8,  7000] loss: 0.708
[8,  7500] loss: 0.678
[8,  8000] loss: 0.651
[8,  8500] loss: 0.657
[8,  9000] loss: 0.725
[8,  9500] loss: 0.680
[8, 10000] loss: 0.682
[8, 10500] loss: 0.638
[8, 11000] loss: 0.691
[8, 11500] loss: 0.682
[8, 12000] loss: 0.650
[8, 12500] loss: 0.697
--> Accuracy after epoch 7: 56 %
[9,   500] loss: 0.539
[9,  1000] loss: 0.578
[9,  1500] loss: 0.563
[9,  2000] loss: 0.548
[9,  2500] loss: 0.550
[9,  3000] loss: 0.596
[9,  3500] loss: 0.564
[9,  4000] loss: 0.574
[9,  4500] loss: 0.567
[9,  5000] loss: 0.595
[9,  5500] loss: 0.649
[9,  6000] loss: 0.668
[9,  6500] loss: 0.606
[9,  7000] loss: 0.636
[9,  7500] loss: 0.633
[9,  8000] loss: 0.643
[9,  8500] loss: 0.603
[9,  9000] loss: 0.645
[9,  9500] loss: 0.637
[9, 10000] loss: 0.626
[9, 10500] loss: 0.601
[9, 11000] loss: 0.648
[9, 11500] loss: 0.622
[9, 12000] loss: 0.642
[9, 12500] loss: 0.585
--> Accuracy after epoch 8: 57 %
[10,   500] loss: 0.561
[10,  1000] loss: 0.466
[10,  1500] loss: 0.502
[10,  2000] loss: 0.510
[10,  2500] loss: 0.568
[10,  3000] loss: 0.600
[10,  3500] loss: 0.598
[10,  4000] loss: 0.553
[10,  4500] loss: 0.522
[10,  5000] loss: 0.545
[10,  5500] loss: 0.559
[10,  6000] loss: 0.561
[10,  6500] loss: 0.592
[10,  7000] loss: 0.607
[10,  7500] loss: 0.587
[10,  8000] loss: 0.560
[10,  8500] loss: 0.619
[10,  9000] loss: 0.585
[10,  9500] loss: 0.599
[10, 10000] loss: 0.603
[10, 10500] loss: 0.524
[10, 11000] loss: 0.557
[10, 11500] loss: 0.585
[10, 12000] loss: 0.599
[10, 12500] loss: 0.591
--> Accuracy after epoch 9: 56 %
[11,   500] loss: 0.436
[11,  1000] loss: 0.461
[11,  1500] loss: 0.513
[11,  2000] loss: 0.500
[11,  2500] loss: 0.549
[11,  3000] loss: 0.542
[11,  3500] loss: 0.541
[11,  4000] loss: 0.504
[11,  4500] loss: 0.489
[11,  5000] loss: 0.547
[11,  5500] loss: 0.515
[11,  6000] loss: 0.566
[11,  6500] loss: 0.520
[11,  7000] loss: 0.503
[11,  7500] loss: 0.534
[11,  8000] loss: 0.533
[11,  8500] loss: 0.566
[11,  9000] loss: 0.532
[11,  9500] loss: 0.620
[11, 10000] loss: 0.551
[11, 10500] loss: 0.534
[11, 11000] loss: 0.573
[11, 11500] loss: 0.536
[11, 12000] loss: 0.570
[11, 12500] loss: 0.575
--> Accuracy after epoch 10: 55 %
[12,   500] loss: 0.460
[12,  1000] loss: 0.433
[12,  1500] loss: 0.420
[12,  2000] loss: 0.486
[12,  2500] loss: 0.485
[12,  3000] loss: 0.528
[12,  3500] loss: 0.480
[12,  4000] loss: 0.494
[12,  4500] loss: 0.545
[12,  5000] loss: 0.489
[12,  5500] loss: 0.537
[12,  6000] loss: 0.579
[12,  6500] loss: 0.498
[12,  7000] loss: 0.522
[12,  7500] loss: 0.543
[12,  8000] loss: 0.534
[12,  8500] loss: 0.552
[12,  9000] loss: 0.567
[12,  9500] loss: 0.526
[12, 10000] loss: 0.537
[12, 10500] loss: 0.590
[12, 11000] loss: 0.482
[12, 11500] loss: 0.538
[12, 12000] loss: 0.511
[12, 12500] loss: 0.527
--> Accuracy after epoch 11: 56 %
[13,   500] loss: 0.422
[13,  1000] loss: 0.392
[13,  1500] loss: 0.419
[13,  2000] loss: 0.437
[13,  2500] loss: 0.469
[13,  3000] loss: 0.386
[13,  3500] loss: 0.428
[13,  4000] loss: 0.499
[13,  4500] loss: 0.510
[13,  5000] loss: 0.497
[13,  5500] loss: 0.414
[13,  6000] loss: 0.487
[13,  6500] loss: 0.533
[13,  7000] loss: 0.502
[13,  7500] loss: 0.504
[13,  8000] loss: 0.505
[13,  8500] loss: 0.517
[13,  9000] loss: 0.555
[13,  9500] loss: 0.521
[13, 10000] loss: 0.522
[13, 10500] loss: 0.457
[13, 11000] loss: 0.568
[13, 11500] loss: 0.535
[13, 12000] loss: 0.466
[13, 12500] loss: 0.486
--> Accuracy after epoch 12: 55 %
[14,   500] loss: 0.377
[14,  1000] loss: 0.440
[14,  1500] loss: 0.429
[14,  2000] loss: 0.432
[14,  2500] loss: 0.475
[14,  3000] loss: 0.391
[14,  3500] loss: 0.508
[14,  4000] loss: 0.500
[14,  4500] loss: 0.490
[14,  5000] loss: 0.416
[14,  5500] loss: 0.502
[14,  6000] loss: 0.496
[14,  6500] loss: 0.547
[14,  7000] loss: 0.453
[14,  7500] loss: 0.429
[14,  8000] loss: 0.479
[14,  8500] loss: 0.499
[14,  9000] loss: 0.566
[14,  9500] loss: 0.561
[14, 10000] loss: 0.526
[14, 10500] loss: 0.536
[14, 11000] loss: 0.466
[14, 11500] loss: 0.499
[14, 12000] loss: 0.495
[14, 12500] loss: 0.482
--> Accuracy after epoch 13: 54 %
[15,   500] loss: 0.391
[15,  1000] loss: 0.392
[15,  1500] loss: 0.482
[15,  2000] loss: 0.441
[15,  2500] loss: 0.420
[15,  3000] loss: 0.428
[15,  3500] loss: 0.456
[15,  4000] loss: 0.456
[15,  4500] loss: 0.493
[15,  5000] loss: 0.490
[15,  5500] loss: 0.451
[15,  6000] loss: 0.469
[15,  6500] loss: 0.536
[15,  7000] loss: 0.496
[15,  7500] loss: 0.509
[15,  8000] loss: 0.452
[15,  8500] loss: 0.510
[15,  9000] loss: 0.473
[15,  9500] loss: 0.473
[15, 10000] loss: 0.512
[15, 10500] loss: 0.539
[15, 11000] loss: 0.450
[15, 11500] loss: 0.484
[15, 12000] loss: 0.544
[15, 12500] loss: 0.497
--> Accuracy after epoch 14: 55 %
[16,   500] loss: 0.417
[16,  1000] loss: 0.400
[16,  1500] loss: 0.430
[16,  2000] loss: 0.369
[16,  2500] loss: 0.437
[16,  3000] loss: 0.413
[16,  3500] loss: 0.456
[16,  4000] loss: 0.458
[16,  4500] loss: 0.461
[16,  5000] loss: 0.481
[16,  5500] loss: 0.468
[16,  6000] loss: 0.455
[16,  6500] loss: 0.452
[16,  7000] loss: 0.465
[16,  7500] loss: 0.468
[16,  8000] loss: 0.413
[16,  8500] loss: 0.469
[16,  9000] loss: 0.451
[16,  9500] loss: 0.547
[16, 10000] loss: 0.515
[16, 10500] loss: 0.437
[16, 11000] loss: 0.488
[16, 11500] loss: 0.501
[16, 12000] loss: 0.437
[16, 12500] loss: 0.535
--> Accuracy after epoch 15: 55 %
[17,   500] loss: 0.391
[17,  1000] loss: 0.372
[17,  1500] loss: 0.368
[17,  2000] loss: 0.420
[17,  2500] loss: 0.442
[17,  3000] loss: 0.442
[17,  3500] loss: 0.448
[17,  4000] loss: 0.400
[17,  4500] loss: 0.366
[17,  5000] loss: 0.502
[17,  5500] loss: 0.441
[17,  6000] loss: 0.455
[17,  6500] loss: 0.467
[17,  7000] loss: 0.465
[17,  7500] loss: 0.480
[17,  8000] loss: 0.470
[17,  8500] loss: 0.439
[17,  9000] loss: 0.409
[17,  9500] loss: 0.459
[17, 10000] loss: 0.435
[17, 10500] loss: 0.451
[17, 11000] loss: 0.526
[17, 11500] loss: 0.534
[17, 12000] loss: 0.450
[17, 12500] loss: 0.537
--> Accuracy after epoch 16: 54 %
[18,   500] loss: 0.410
[18,  1000] loss: 0.352
[18,  1500] loss: 0.377
[18,  2000] loss: 0.390
[18,  2500] loss: 0.457
[18,  3000] loss: 0.473
[18,  3500] loss: 0.406
[18,  4000] loss: 0.397
[18,  4500] loss: 0.431
[18,  5000] loss: 0.433
[18,  5500] loss: 0.468
[18,  6000] loss: 0.418
[18,  6500] loss: 0.411
[18,  7000] loss: 0.516
[18,  7500] loss: 0.402
[18,  8000] loss: 0.532
[18,  8500] loss: 0.489
[18,  9000] loss: 0.515
[18,  9500] loss: 0.432
[18, 10000] loss: 0.495
[18, 10500] loss: 0.505
[18, 11000] loss: 0.469
[18, 11500] loss: 0.472
[18, 12000] loss: 0.461
[18, 12500] loss: 0.527
--> Accuracy after epoch 17: 54 %
[19,   500] loss: 0.332
[19,  1000] loss: 0.430
[19,  1500] loss: 0.374
[19,  2000] loss: 0.372
[19,  2500] loss: 0.360
[19,  3000] loss: 0.458
[19,  3500] loss: 0.446
[19,  4000] loss: 0.481
[19,  4500] loss: 0.424
[19,  5000] loss: 0.422
[19,  5500] loss: 0.410
[19,  6000] loss: 0.418
[19,  6500] loss: 0.503
[19,  7000] loss: 0.434
[19,  7500] loss: 0.478
[19,  8000] loss: 0.481
[19,  8500] loss: 0.494
[19,  9000] loss: 0.458
[19,  9500] loss: 0.481
[19, 10000] loss: 0.491
[19, 10500] loss: 0.513
[19, 11000] loss: 0.503
[19, 11500] loss: 0.526
[19, 12000] loss: 0.503
[19, 12500] loss: 0.482
--> Accuracy after epoch 18: 53 %
[20,   500] loss: 0.389
[20,  1000] loss: 0.400
[20,  1500] loss: 0.435
[20,  2000] loss: 0.367
[20,  2500] loss: 0.352
[20,  3000] loss: 0.422
[20,  3500] loss: 0.403
[20,  4000] loss: 0.387
[20,  4500] loss: 0.368
[20,  5000] loss: 0.480
[20,  5500] loss: 0.445
[20,  6000] loss: 0.473
[20,  6500] loss: 0.474
[20,  7000] loss: 0.473
[20,  7500] loss: 0.487
[20,  8000] loss: 0.493
[20,  8500] loss: 0.441
[20,  9000] loss: 0.415
[20,  9500] loss: 0.451
[20, 10000] loss: 0.465
[20, 10500] loss: 0.523
[20, 11000] loss: 0.458
[20, 11500] loss: 0.458
[20, 12000] loss: 0.555
[20, 12500] loss: 0.477
--> Accuracy after epoch 19: 55 %
[21,   500] loss: 0.315
[21,  1000] loss: 0.404
[21,  1500] loss: 0.389
[21,  2000] loss: 0.448
[21,  2500] loss: 0.400
[21,  3000] loss: 0.433
[21,  3500] loss: 0.468
[21,  4000] loss: 0.456
[21,  4500] loss: 0.477
[21,  5000] loss: 0.404
[21,  5500] loss: 0.466
[21,  6000] loss: 0.442
[21,  6500] loss: 0.471
[21,  7000] loss: 0.458
[21,  7500] loss: 0.414
[21,  8000] loss: 0.484
[21,  8500] loss: 0.473
[21,  9000] loss: 0.511
[21,  9500] loss: 0.415
[21, 10000] loss: 0.477
[21, 10500] loss: 0.499
[21, 11000] loss: 0.524
[21, 11500] loss: 0.393
[21, 12000] loss: 0.436
[21, 12500] loss: 0.426
--> Accuracy after epoch 20: 53 %
[22,   500] loss: 0.358
[22,  1000] loss: 0.366
[22,  1500] loss: 0.377
[22,  2000] loss: 0.309
[22,  2500] loss: 0.289
[22,  3000] loss: 0.401
[22,  3500] loss: 0.334
[22,  4000] loss: 0.388
[22,  4500] loss: 0.376
[22,  5000] loss: 0.471
[22,  5500] loss: 0.443
[22,  6000] loss: 0.535
[22,  6500] loss: 0.472
[22,  7000] loss: 0.506
[22,  7500] loss: 0.524
[22,  8000] loss: 0.594
[22,  8500] loss: 0.459
[22,  9000] loss: 0.410
[22,  9500] loss: 0.509
[22, 10000] loss: 0.479
[22, 10500] loss: 0.450
[22, 11000] loss: 0.527
[22, 11500] loss: 0.458
[22, 12000] loss: 0.500
[22, 12500] loss: 0.511
--> Accuracy after epoch 21: 54 %
[23,   500] loss: 0.381
[23,  1000] loss: 0.405
[23,  1500] loss: 0.408
[23,  2000] loss: 0.394
[23,  2500] loss: 0.501
[23,  3000] loss: 0.455
[23,  3500] loss: 0.468
[23,  4000] loss: 0.367
[23,  4500] loss: 0.435
[23,  5000] loss: 0.496
[23,  5500] loss: 0.363
[23,  6000] loss: 0.413
[23,  6500] loss: 0.497
[23,  7000] loss: 0.466
[23,  7500] loss: 0.439
[23,  8000] loss: 0.433
[23,  8500] loss: 0.477
[23,  9000] loss: 0.400
[23,  9500] loss: 0.500
[23, 10000] loss: 0.487
[23, 10500] loss: 0.444
[23, 11000] loss: 0.506
[23, 11500] loss: 0.510
[23, 12000] loss: 0.440
[23, 12500] loss: 0.477
--> Accuracy after epoch 22: 54 %
[24,   500] loss: 0.331
[24,  1000] loss: 0.325
[24,  1500] loss: 0.368
[24,  2000] loss: 0.398
[24,  2500] loss: 0.374
[24,  3000] loss: 0.366
[24,  3500] loss: 0.469
[24,  4000] loss: 0.471
[24,  4500] loss: 0.419
[24,  5000] loss: 0.524
[24,  5500] loss: 0.482
[24,  6000] loss: 0.464
[24,  6500] loss: 0.466
[24,  7000] loss: 0.484
[24,  7500] loss: 0.457
[24,  8000] loss: 0.436
[24,  8500] loss: 0.468
[24,  9000] loss: 0.531
[24,  9500] loss: 0.504
[24, 10000] loss: 0.475
[24, 10500] loss: 0.493
[24, 11000] loss: 0.500
[24, 11500] loss: 0.515
[24, 12000] loss: 0.490
[24, 12500] loss: 0.461
--> Accuracy after epoch 23: 54 %
[25,   500] loss: 0.400
[25,  1000] loss: 0.392
[25,  1500] loss: 0.381
[25,  2000] loss: 0.374
[25,  2500] loss: 0.363
[25,  3000] loss: 0.413
[25,  3500] loss: 0.422
[25,  4000] loss: 0.401
[25,  4500] loss: 0.492
[25,  5000] loss: 0.462
[25,  5500] loss: 0.372
[25,  6000] loss: 0.390
[25,  6500] loss: 0.420
[25,  7000] loss: 0.530
[25,  7500] loss: 0.428
[25,  8000] loss: 0.456
[25,  8500] loss: 0.428
[25,  9000] loss: 0.488
[25,  9500] loss: 0.511
[25, 10000] loss: 0.498
[25, 10500] loss: 0.442
[25, 11000] loss: 0.437
[25, 11500] loss: 0.423
[25, 12000] loss: 0.454
[25, 12500] loss: 0.419
--> Accuracy after epoch 24: 54 %
[26,   500] loss: 0.398
[26,  1000] loss: 0.389
[26,  1500] loss: 0.373
[26,  2000] loss: 0.408
[26,  2500] loss: 0.429
[26,  3000] loss: 0.404
[26,  3500] loss: 0.491
[26,  4000] loss: 0.424
[26,  4500] loss: 0.437
[26,  5000] loss: 0.461
[26,  5500] loss: 0.478
[26,  6000] loss: 0.430
[26,  6500] loss: 0.442
[26,  7000] loss: 0.452
[26,  7500] loss: 0.504
[26,  8000] loss: 0.575
[26,  8500] loss: 0.525
[26,  9000] loss: 0.510
[26,  9500] loss: 0.514
[26, 10000] loss: 0.446
[26, 10500] loss: 0.488
[26, 11000] loss: 0.473
[26, 11500] loss: 0.446
[26, 12000] loss: 0.433
[26, 12500] loss: 0.494
--> Accuracy after epoch 25: 53 %
[27,   500] loss: 0.412
[27,  1000] loss: 0.378
[27,  1500] loss: 0.373
[27,  2000] loss: 0.429
[27,  2500] loss: 0.417
[27,  3000] loss: 0.433
[27,  3500] loss: 0.306
[27,  4000] loss: 0.383
[27,  4500] loss: 0.488
[27,  5000] loss: 0.477
[27,  5500] loss: 0.582
[27,  6000] loss: 0.471
[27,  6500] loss: 0.441
[27,  7000] loss: 0.452
[27,  7500] loss: 0.540
[27,  8000] loss: 0.423
[27,  8500] loss: 0.541
[27,  9000] loss: 0.482
[27,  9500] loss: 0.420
[27, 10000] loss: 0.449
[27, 10500] loss: 0.512
[27, 11000] loss: 0.437
[27, 11500] loss: 0.454
[27, 12000] loss: 0.461
[27, 12500] loss: 0.472
--> Accuracy after epoch 26: 52 %
[28,   500] loss: 0.386
[28,  1000] loss: 0.399
[28,  1500] loss: 0.348
[28,  2000] loss: 0.483
[28,  2500] loss: 0.445
[28,  3000] loss: 0.569
[28,  3500] loss: 0.439
[28,  4000] loss: 0.414
[28,  4500] loss: 0.499
[28,  5000] loss: 0.422
[28,  5500] loss: 0.460
[28,  6000] loss: 0.481
[28,  6500] loss: 0.440
[28,  7000] loss: 0.459
[28,  7500] loss: 0.445
[28,  8000] loss: 0.489
[28,  8500] loss: 0.427
[28,  9000] loss: 0.507
[28,  9500] loss: 0.469
[28, 10000] loss: 0.531
[28, 10500] loss: 0.402
[28, 11000] loss: 0.472
[28, 11500] loss: 0.445
[28, 12000] loss: 0.390
[28, 12500] loss: 0.517
--> Accuracy after epoch 27: 54 %
[29,   500] loss: 0.367
[29,  1000] loss: 0.432
[29,  1500] loss: 0.376
[29,  2000] loss: 0.325
[29,  2500] loss: 0.467
[29,  3000] loss: 0.389
[29,  3500] loss: 0.473
[29,  4000] loss: 0.488
[29,  4500] loss: 0.442
[29,  5000] loss: 0.479
[29,  5500] loss: 0.438
[29,  6000] loss: 0.433
[29,  6500] loss: 0.443
[29,  7000] loss: 0.487
[29,  7500] loss: 0.498
[29,  8000] loss: 0.495
[29,  8500] loss: 0.530
[29,  9000] loss: 0.464
[29,  9500] loss: 0.467
[29, 10000] loss: 0.515
[29, 10500] loss: 0.544
[29, 11000] loss: 0.530
[29, 11500] loss: 0.559
[29, 12000] loss: 0.505
[29, 12500] loss: 0.582
--> Accuracy after epoch 28: 53 %
[30,   500] loss: 0.411
[30,  1000] loss: 0.474
[30,  1500] loss: 0.438
[30,  2000] loss: 0.388
[30,  2500] loss: 0.425
[30,  3000] loss: 0.402
[30,  3500] loss: 0.526
[30,  4000] loss: 0.523
[30,  4500] loss: 0.427
[30,  5000] loss: 0.504
[30,  5500] loss: 0.528
[30,  6000] loss: 0.497
[30,  6500] loss: 0.485
[30,  7000] loss: 0.427
[30,  7500] loss: 0.516
[30,  8000] loss: 0.427
[30,  8500] loss: 0.534
[30,  9000] loss: 0.541
[30,  9500] loss: 0.530
[30, 10000] loss: 0.482
[30, 10500] loss: 0.468
[30, 11000] loss: 0.462
[30, 11500] loss: 0.435
[30, 12000] loss: 0.483
[30, 12500] loss: 0.415
--> Accuracy after epoch 29: 52 %
Finished Training
Accuracy of the network on the 10000 test images: 52 %
Accuracy of plane : 52 %
Accuracy of   car : 70 %
Accuracy of  bird : 42 %
Accuracy of   cat : 33 %
Accuracy of  deer : 44 %
Accuracy of   dog : 42 %
Accuracy of  frog : 59 %
Accuracy of horse : 53 %
Accuracy of  ship : 67 %
Accuracy of truck : 62 %
Saving data to mat file...
done!
